category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Augusta-Richmond County for Rock Creek Basin-National Hills Neighborhood Stormwater Project,,,GA,,,3242000,S,Raphael G. Warnock,W000790,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Augusta-Richmond County for a Drinking Water and/or Clean Water Project for Sewer and Waterline Replacement,,,GA,,,3888000,S,Raphael G. Warnock,W000790,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of McIntyre and Wilkinson County for Sewer System,,,GA,,,6300000,S,Jon Ossoff,O000174,sen,Democrat,Raphael G. Warnock,W000790,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Harvey for a Drinking Water and/or Clean Water Project for Central Area Water and Sewer Improvement Project,,,IL,,,3500000,S,Tammy Duckworth,D000622,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Peoria for Combined Sewer Overflow Project,,,IL,,,450000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Sesser for Sanitary Sewer Collection System Rehabilitation,,,IL,,,750000,S,Tammy Duckworth,D000622,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,HeartLands Conservancy for Centreville Cahokia Heights Sewer System Project,,,IL,,,1500000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Kishwaukee Water Reclamation District for Malta/Kishwaukee Community College Sanitary Sewer Extension Project,,,IL,,,250000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Lake County Public Works for Des Plaines River Water Reclamation Facility Upgrades Project,,,IL,,,400000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Metropolitan Water Reclamation District of Greater Chicago for Stormwater Project,,,IL,,,1500000,S,Tammy Duckworth,D000622,sen,Democrat,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Will County for a Drinking Water and/or Clean Water Project for Southeast Joliet Sanitary District Water and Wastewater Upgrading,,,IL,,,500000,S,Tammy Duckworth,D000622,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Pittsburg for Wastewater Treatment Facility,,,KS,,,3000000,S,Jerry Moran,M000934,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Monroe for Storm Water Drainage Study,,,LA,,,500000,S,Bill Cassidy,C001075,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,New Orleans Ernest N. Morial Convention Center for New Gravity Sanitary Sewer and Storm Sewer Project,,,LA,,,8000000,S,Bill Cassidy,C001075,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Tyngsborough Sewer Department for Sewer Phase 3 Project,,,MA,,,869000,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Wampanoag Tribe of Gay Head Aquinnah for Administration Building Connection to Waste Water Treatment Plant,,,MA,,,800000,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Anne Arundel County for Stormwater Management Infrastructure Improvements,,,MD,,,2000000,S,Benjamin L. Cardin,C000141,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Cecil County for New Wastewater Infrastructure,,,MD,,,1000000,S,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Hyattsville for Ward 1 Stormwater Project,,,MD,,,870000,S,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,The City of Cambridge for Historic West End Sewer Line Replacements,,,MD,,,500000,S,Benjamin L. Cardin,C000141,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Belfast for Sewer Line Replacements,,,ME,,,1000000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Brewer for Oak Grove Sewer Subsystem Remediation Project,,,ME,,,1103000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Eastport Wastewater Treatment Department for Middle Street Pump Station Generator Upgrade,,,ME,,,120000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Presque Isle for Echo Lake Septic Tank Effluent Pump System,,,ME,,,550000,S,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Saco for Water Resource Recovery Facility Upgrade,,,ME,,,3930000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Maine Department of Environmental Protection for Anson Madison Sanitary District Regional PFAS Treatment Facility,,,ME,,,1600000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Bridgton for Sewer Main Extensions Project,,,ME,,,1400000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Frenchville for Force Main and Pump Station Upgrade,,,ME,,,247000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Old Orchard Beach for Wastewater Treatment Facility Upgrades,,,ME,,,1000000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Winslow for Chaffee Brook Pump Station,,,ME,,,1000000,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Great Lakes Water Authority for Detroit River Interceptor Evaluation and Rehabilitation,,,MI,,,2000000,S,Gary C. Peters,P000595,sen,Democrat,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Martin Sanitary Diversion Drainage District for Martin Drain In-System Storage Device,,,MI,,,1000000,S,Gary C. Peters,P000595,sen,Democrat,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Bemidji for Wastewater Treatment Facility Rehabilitation,,,MN,,,4400000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Rochester for Water Reclamation Plant Upgrade,,,MN,,,935000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Rochester for Septic Receiving Facility Upgrades,,,NH,,,900000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Conway Village Fire District for Sewer Main Rehabilitation,,,NH,,,1000000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,"Keene, NH for Sewer Force Main Inspection and Rehabilitation",,,NH,,,325000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Exeter for Webster Avenue Pump Station Rehabilitation Project,,,NH,,,1050000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Greenville for Wastewater Treatment Plant Chemical Feed Building,,,NH,,,750000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Newport for Renovation of Wastewater Treatment Plant,,,NH,,,1936000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Borough of Prospect Park for Main Sewer Line Repair Project,,,NJ,,,223000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Borough of Sussex for Sewer Force Main Repair,,,NJ,,,1000000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Borough of Wharton for Sanitary Sewer System Rehabilitation,,,NJ,,,398000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Hackensack for Clay Street Combined Sewer Separation Project,,,NJ,,,1000000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Hammonton for Sanitary Sewer System Study and Rehabilitation,,,NJ,,,395000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Sparta Township for Wastewater Treatment Project,,,NJ,,,250000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Willingboro Municipal Utilities Authority for Water Treatment Plant Microgrid,,,NJ,,,600000,S,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Ely for Central Ely Sewer Upgrade,,,NV,,,3300000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Truckee Meadows Water Authority for Reno-Stead OneWater Nevada Purification Facility,,,NV,,,3000000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Mount Vernon for City of Mount Vernon DPW Sewer Planning Project,,,NY,,,1500000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Northeast Ohio Regional Sewer District for Brookside Culvert Repair Project,,,OH,,,2000000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Northeast Ohio Regional Sewer District for Upper Ridgewood Stormwater Detention Basin Improvement Project,,,OH,,,1000000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Village of Tuscarawas for Wastewater Treatment Plant Improvements,,,OH,,,500000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Davis Municipal Authority for Wastewater Treatment Plant Improvements,,,OK,,,1000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Oklahoma City Water Utilities Trust for Wastewater Treatment Plant Upgrades,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Stillwater Utilities Authority for City of Stillwater Wastewater Project,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Albany for Composting System Expansion at the Albany-Millsburg Water Reclamation,,,OR,,,1500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Dufur for Wastewater Treatment Expansion Project,,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Hood River for Phase IV Waterfront Stormwater Line Relocation,,,OR,,,575000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Newberg for Emergency Wastewater Treatment Plant,,,OR,,,500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of North Bend for Storm and Sanitary Infrastructure Replacement and Upgrades,,,OR,,,1340000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Prineville for a Drinking Water and/ or Clean Water Project for Water and Wastewater Services Extension,,,OR,,,1500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Sandy for Sewer Pipe Improvements,,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Klamath County for Upper Klamath Lake Water Reuse Equipment,,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,North Unit Irrigation District for Jefferson County Main Canal Lining Project,,,OR,,,555000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Port of Toledo for Sewer Connection Expansion Project,,,OR,,,1958000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,"Rogue River Valley and Medford Irrigation District for Joint System Piping, Phase 1",,,OR,,,5000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Cecil Township Municipal Authority for Village of Lawrence Sewage Facilities Project,,,PA,,,1000000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Mid-Cameron Authority for Cameron County Interceptor Line Replacement,,,PA,,,376000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Warwick Sewer Authority for Supervisory Control and Data Acquisition System,,,RI,,,1500000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of North Providence for Stormwater Improvements,,,RI,,,375000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Aiken for Northside Gravity Sewer Expansion,,,SC,,,2500000,S,Lindsey Graham,G000359,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Norfolk for a Drinking Water and/or Clean Water Project for River Oaks Pump Station Replacement,,,VA,,,2500000,S,Tim Kaine,K000384,sen,Democrat,Mark R. Warner,W000805,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Norfolk for a Drinking Water and/or Clean Water Project for West Ocean View Pump Station,,,VA,,,2300000,S,Tim Kaine,K000384,sen,Democrat,Mark R. Warner,W000805,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Addison County Community Trust for Wastewater Infrastructure Improvements,,,VT,,,500000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Vergennes for Wastewater Upgrade,,,VT,,,3000000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,"Milton Mobile Home Community, Inc. for a Drinking Water and/or Clean Water Project for Mobile Home Community Water and Sewer Project",,,VT,,,841000,S,Patrick J. Leahy,L000174,sen,Democrat,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Barre for City of Barre North End Wastewater Pump Station,,,VT,,,143000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Bethel for a Drinking Water and/or Clean Water Project for Water and Stormwater Infrastructure Upgrade,,,VT,,,600000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Montgomery for Wastewater Infrastructure Construction Project,,,VT,,,2800000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Stevenson for Wastewater Treatment Plant Upgrades,,,WA,,,2500000,S,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Sultan for Wastewater Plant Upgrade,,,WA,,,2000000,S,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Clark Regional Wastewater District for Curtain Creek Septic Elimination Program,,,WA,,,800000,S,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Port Hadlock for Wastewater Facilty,,,WA,,,2500000,S,Patty Murray,M001111,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Fitchburg for Stormwater Management Project,,,WI,,,848000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Follansbee for Wastewater System Improvements Project,,,WV,,,10269000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Grafton for Wastewater Systems Improvement Project,,,WV,,,3000000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Nitro for Stormwater and Sewer Upgrade Project,,,WV,,,2888000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Parsons for Sanitary Sewer System Compliance,,,WV,,,1600000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Ravenswood for Pump Station Improvements,,,WV,,,2000000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,City of Ripley for Wastewater Treatment Plant Improvements,,,WV,,,3000000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Parkersburg Utility Board for Marrtown Road Sewer Improvements,,,WV,,,2500000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Salt Rock Sewer Public Service District for Phase II Pump Station Upgrade Project,,,WV,,,1416000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Southern Jackson County Public Service District for Wastewater Treatment System Upgrade,,,WV,,,2158000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
